Acélkék döggomba
Acélkékes galambgomba
Acélkéklábú döggomba
Acélszürke bocskorosgomba
Acélszürke galambgomba
Akáccsiperke
Akácpereszke
Almafa-rozsdástapló
Amerikai kucsmagomba
Amerikai trágyagomba
Apró bocskorosgomba
Apró ciprus-csészegomba
Apró csillaggomba
Apró csiperke
Apró kocsonyáspöfeteg
Apró nedűgomba
Apró pénzecskegomba
Apró pókhálósgomba
Apró pöfeteg
Apró susulyka
Apró szegfűgomba
Aprópikkelyes pókhálósgomba
Aprópikkelyű pereszke
Aranytinóru
Aranybélésű tinóru
Aranylemezű pókhálósgomba
Aranyló csengettyűgomba
Aranyló koronggombácska
Aranyos állredőgomba
Aranyos galambgomba
Aranyos rezgőgomba
Aranypenész gomba
Aranysárga korallgomba
Aranysárga koronggombácska
Aranysárga lánggomba
Aranysárga laskagomba
Aranysárga nedűgomba
Aranyos rezgőgomba
Aranysörtés pókhálós-csészegombácska
Azúrkék galambgomba
Áfonyalevél-festő gomba
Ágacskás kéregtörőgomba
Ágas tapló
Álgyűrűs pereszke
Álkígyógomba faj
Álpereszke-faj
Álszömörcsög
Ánizsszagú fásgereben
Ánizsszagú fűrészgomba
Ánizstapló
Áprilisi döggomba
Árszerű enyveskorallgomba
Árvalányhaj-pöfeteg
Árvalányhajgomba
Árvégű fülőke
Áttetsző fésűsgomba
Áttetsző koronggombácska
Áttetsző mohacsészegomba
Bakszagú pókhálósgomba
Baracksárga galambgomba
Barackszínű kígyógomba
Barázdálttönkű kígyógomba
Barázdás korallgomba
Barka csészegombácska
Barna csengettyűgomba
Barna csészegomba
Barna csoportospereszke
Barna egyrétűtapló
Barna érdestinóru
Barna érdestinóru feketés változata
Barna fülesgomba
Barna galambgomba
Barna galóca
Barna gyűrűstinóru
Barna kéregfekély-gombácska
Barna kocsonyás-csészegomba
Barna nedűgomba
Barna nyálkásgomba
Barna porhanyósgomba
Barna tejelőgomba
Barna tinóru
Barnaeres csengettyűgomba
Barnagumós fülőke
Barnahátú zsemlegomba
Barnakorongos csigagomba
Barnalemezű fülőke
Barnanyálkás csigagomba
Barnapikkelyes kacskagomba
Barnapikkelyes tintagomba
Barnapikkelyű csiperke
Barnás fogasvargomba
Barnás pöfeteg
Barnásfekete pókhálósgomba
Barnáslila tejelőgomba
Barnáspiros sörtéscsészegomba
Barnásszürke érdestinóru
Barnasüvegű papsapkagomba
Barnásvörös galambgomba
Barnásvörös ripacsgomba
Barnatönkű fokhagymagomba
Barnatüskés őzlábgomba
Barnuló csigagomba
Barnuló likacsosgomba
Barnulóhúsú galambgomba
Bársonykalapú lánggomba
Bársonyos egyrétűtapló
Bársonyos fapereszke
Bársonyos fűrészgomba
Bársonyos gyökeresfülőke
Bársonyos olajgombácska
Bársonyos papsapkagomba
Bársonyos réteggomba
Bársonyostönkű cölöpgomba
Bársonyostönkű mohagomba
Begöngyöltszélű cölöpgomba
Begöngyöltszélű tejelőgomba
Bézs korallgomba
Bíbor galóca
Bíbor porcoscsészegomba
Bíbor tinóru
Bíborélű kígyógomba
Bíborlila pókhálósgomba
Bíbortönkű pereszke
Bimbós pöfeteg
Bocskoros csiperke
Bocskoros nyelespöfeteg
Bocskoros pókhálósgomba
Bodza-szemcsegomba
Borbarna őzlábgomba
Bordás mohagomba
Bordás serleggomba
Bordás tölcsérgomba
Bordás-csapos sztrómacsészegomba
Bordásnyelű papsapkagomba
Bordásszélű fülőke
Bordó csészegomba
Boróka-kígyógomba
Boróka-szőröscsészegomba
Borostás egyrétűtapló
Borostás gyökeresfülőke
Borostás nemezesgomba
Borostás réteggomba
Borostyán-szegfűgomba
Borsos tinóru
Borvörös galambgomba
Borvörös susulyka
Borvörös szemcsésgomba
Borvörös tinóru
Borzastönkű fülőke
Bőrsárga fülesgomba
Bőrsárga korallgomba
Bőrsárgatönkű galambgomba
Bőrszerű redősgomba
Bronzos pöfeteg
Bronzos vargánya
Buckaközi tölcsérgomba
Bundás állaskagomba
Bundás álszarvasgomba
Bundás lisztgomba
Bundás tüskéslaska
Bunkós agancsgomba
Bunkóslábú fülőke
Büdös csiperke
Büdös fülőke
Büdös galambgomba
Büdös őzlábgomba
Büdös pereszke
Büdös pöfeteg
Büdös szemölcsösgomba
Bükk kéreggomba
Bükk-álrezgőgomba
Bükk-eresgomba
Bükk-kedvelő nyelescsészegomba
Bükk-koronggomba
Bükkfa-galambgomba
Bükkfa-rozsdástapló
Bükkfa-tapló
Bükki álfülőke
Bükki pereszke
Bükkmakk porcos-csészegombácska
Bükkös fejecskésgomba
Bükkös galambgomba
Bükkös korallgomba
Bükkös papsapkagomba
Bükkös pókhálósgomba
Cafatos pöfeteg
Cafrangos galóca
Cédrus-földicsészegomba
Cédrusszagú galambgomba
Céklatinóru
Ciánkék mohagomba
Cifra galambgomba
Cifra kígyógomba
Cifra korallgomba
Cifra lemezestapló
Cinóberszínű pókhálósgomba
Cinóbertapló
Cinóbervörös csészegomba
Cinóbervörös hamis-gömbgomba
Cinóbervörös pattanásgomba
Cinóbervörös szemcsésgomba
Cirmoskalapú pereszke
Citromgalóca
Gomba/Nem ehető gombák/Citromlemezű galambgomba
Citromsárga csészegombácska
Citromsárga kupakgomba
Csalán szemölcsgombácska
Csalfa nyelvgomba
Csalóka galambgomba
Csalóka pereszke
Csalóka tinóru
Csapottsprórás tinóru
Császárgalóca
Csavarttönkű fülőke
Cseh kucsmagomba
Csepegő kígyógomba
Cserepes gereben
Cseresznye-mirigygomba
Cseresznyefa gyümölcsösgomba
Cservirág nyálkagomba
Csészés álkorallgomba
Csészés csillaggomba
Csíkos pohárgomba
Csíkosspórájú álszarvasgomba
Csillagsapkás tintagomba
Csillagspórás susulyka
Csillagszőrös trágyacsészegomba
Csillámló tintagomba
Csinos galambgomba
Csinos lánggomba
Csinos őzlábgomba
Csiperkelemezű fakógomba
Csipkés őzlábgomba
Csipkés trágyagomba
Csípős fásgereben
Csípős galambgomba
Csípős pereszke
Csípőslemezű galambgomba
Csípőstejű keserűgomba
Csizmás pókhálósgomba
Csomós szemcsegomba
Csontfehér kacskagomba
Csoportos csészegomba
Csoportos csiperke
Csoportos fülőke
Csoportos porhanyósgomba
Csoportos tuskógomba
Csövestönkű fenyőtinóru
Csupaszpereszke faj
Csücskös gömbgombácska
Darázsfészek nyálkagomba
Daróc-tejelőgomba
Datolyazöld kérészgomba
Déli áltrifla
Déli tőkegomba
Deres galambgomba
Deres olajgombácska
Deres pókhálósgomba
Deres tapló
Dióízű galambgomba
Díszestönkű kénvirággomba
Disznófülgomba
Dohos tölcsérgomba
Domború fekvőtapló
Domború harmatgomba
Dudoros szagosgereben
Duglász-fenyőtinóru
Duzzadttönkű tölcsérgomba
Dűne-susulyka
Egérszürke bocskorosgomba
Elefántcsont-csigagomba
Elegáns csillaggomba
Elegáns kutyaszömörcsög
Elegáns pókhálósgomba
Enyhe galambgomba
Enyhe tejelőgomba
Enyhe tobozfülőke
Enyves álcsészegomba
Enyves kígyógomba
Enyvestönkű nedügomba
Epeízű pókhálósgomba
Epeízű tinóru
Erdei álporhanyósgomba
Erdei csészegomba
Erdei csiperke
Erdei galambgomba
Erdei szegfűgomba
Erdei szömörcsög
Erdei tintagomba
Erdőszéli csiperke
Ereskalapú csengettyűgomba
Erestönkű laskagomba
Erősszagú szemcsésgomba
Ezüstszálas tintagomba
Ezüstszürke döggomba
Ezüstszürke selyemgomba
Édeskés tejelőgomba
Édesszagú fakógomba
Éger-cölöpgomba
Éger-tinóru
Égerbarka csészegomba
Égerfa-rozsdástapló
Égerfa-tejelőgomba
Égerlevél sztrómacsészegomba
Égertoboz-csészegomba
Égertoboz-csészegombácska
Élénksárga galambgomba
Élénkszínű badargomba
Élénkszínű kenyérgomba
Élénkszínű nyirokgomba
Élénkszínű terülőgomba
Élősdi csészegomba
Élősdi döggomba
Élősdi fülőke
Élősdi tinóru
Élősködő bocskorosgomba
Élősködő porhanyósgomba
Émelyítő pereszke
Érdes galóca
Északi áltrifla
Északi likacsosgomba
Északi tejelőgomba
Északi tüskéslaska
Évelő réteggomba
Fagyálló csigagomba
Fagyálló likacsosgomba
Fahéjbarna likacsosgomba
Fahéjbarna pókhálósgomba
Fahéjszínű békagomba
Fahéjszínű likacsosgomba
Fahéjszínű sörtésréteggomba
Fakéreg kucsmagomba
